slug,name,country,region,sub_region,url,notes
koutsogiannopoulos,Koutsogiannopoulos Winery,Greece,Santorini,,https://dnswines.com/koutsogiannopoulos/,One of Greece's oldest continuously-producing families
domaine_nerantzi,Domaine Nerantzi,Greece,Macedonia,Serres,https://dnswines.com/producers/domaine-nerantzi/,15 ha organic indigenous Greek varieties
domaine_tatsis,Domaine Tatsis,Greece,Macedonia,Goumenissa,https://dnswines.com/producers/domaine-tatsis/,1990s natural-wine originals
domaine_glinavos,Domaine Glinavos,Greece,Epirus,Zitsa,https://dnswines.com/producers/domaine-glinavos/,20 ha Zitsa
hatzidakis,Hatzidakis Winery,Greece,Santorini,Pyrgos,https://dnswines.com/producers/hatzidakis-winery/,Santorini garagiste expanded
troupis,Troupis Winery,Greece,Peloponnese,Mantinia,https://dnswines.com/producers/troupis-winery/,Mantinia 700m altitude; ~16 acres
domaine_economou,Domaine Economou,Greece,Crete,Ziros,https://dnswines.com/producers/domaine-economou/,Yiannis Economou; natural; cult Crete
domaine_de_kalathas,Domaine de Kalathas,Greece,Cyclades,Tinos,https://dnswines.com/producers/domaine-de-kalathas/,Tinos high-altitude
patrick_piuze,Patrick Piuze,France,Burgundy,Chablis,https://dnswines.com/producers/patrick-piuze/,Chablis négociant; rising star
emmanuel_rouget,Emmanuel Rouget,France,Burgundy,Vosne-Romanée,https://dnswines.com/producers/emmanuel-rouget/,Henri Jayer heir
benoit_ente,Benoît Ente,France,Burgundy,Puligny-Montrachet,https://dnswines.com/producers/benoit-ente/,Puligny producer
perrot_minot,Perrot-Minot,France,Burgundy,Morey-Saint-Denis,https://dnswines.com/producers/perrot-minot/,Christophe Perrot-Minot
case_paolin,Case Paolin,Italy,Veneto,Asolo Prosecco DOCG,https://dnswines.com/producers/case-paolin/,Pozzobon family; quality Asolo Prosecco
